,lab
1928,GIA
1929,GIA
1930,GIA
1931,GIA
1932,GIA
1933,GIA
1934,GIA
1935,GIA
1936,GIA
1937,GIA
1938,GIA
1939,GIA
1940,GIA
1941,GIA
1942,GIA
1943,GIA
1944,GIA
1945,GIA
1946,GIA
1947,GIA
1948,GIA
1949,GIA
1950,GIA
1951,GIA
1952,GIA
1953,GIA
1954,GIA
1955,GIA
1956,GIA
1957,IGI
1958,GIA
1959,GIA
1960,GIA
1961,GIA
1962,GIA
1963,GIA
1964,GIA
1965,GIA
1966,GIA
1967,GIA
1968,GIA
1969,GIA
1970,GIA
1971,GIA
1972,GIA
1973,GIA
1974,GIA
1975,GIA
1976,IGI
1977,IGI
1978,IGI
1979,IGI
1980,IGI
1981,IGI
1982,IGI
1983,IGI
1984,IGI
1985,GIA
1986,GIA
1987,IGI
1988,HRD
1989,GIA
1990,GIA
1991,GIA
1992,GIA
1993,GIA
1994,GIA
1995,GIA
1996,GIA
1997,GIA
1998,GIA
1999,GIA
2000,IGI
2001,IGI
2002,IGI
2003,GIA
2004,IGI
2005,GIA
2006,GIA
2007,IGI
2008,GIA
2009,GIA
2010,IGI
2011,IGI
2012,GIA
2013,GIA
2014,GIA
2015,GIA
2016,IGI
2017,GIA
2018,GIA
2019,GIA
2020,IGI
2021,IGI
2022,IGI
2023,IGI
2024,IGI
2025,IGI
2026,IGI
2027,GIA
2028,IGI
2029,GIA
2030,GIA
2031,GIA
2032,GIA
2033,GIA
2034,GIA
2035,GIA
2036,GIA
2037,GIA
2038,IGI
2039,GIA
2040,IGI
2041,GIA
2042,GIA
2043,GIA
2044,GIA
2045,GIA
2046,HRD
2047,GIA
2048,GIA
2049,GIA
2050,GIA
2051,GIA
2052,GIA
2053,GIA
2054,GIA
2055,GIA
2056,GIA
2057,GIA
2058,GIA
2059,IGI
2060,GIA
2061,IGI
2062,GIA
2063,GIA
2064,GIA
2065,GIA
2066,GIA
2067,GIA
2068,GIA
2069,GIA
2070,GIA
2071,GIA
2072,IGI
2073,GIA
2074,GIA
2075,GIA
2076,GIA
2077,GIA
2078,GIA
2079,IGI
2080,GIA
2081,GIA
2082,GIA
2083,GIA
2084,GIA
2085,GIA
2086,IGI
2087,IGI
2088,IGI
2089,IGI
2090,GIA
2091,GIA
2092,GIA
2093,GIA
2094,GIA
2095,GIA
2096,IGI
2097,IGI
2098,GIA
2099,GIA
2100,GIA
2101,GIA
2102,GIA
2103,IGI
2104,GIA
2105,GIA
2106,GIA
2107,GIA
2108,IGI
2109,IGI
2110,GIA
2111,IGI
2112,GIA
2113,GIA
2114,HRD
2115,IGI
2116,IGI
2117,IGI
2118,IGI
2119,IGI
2120,GIA
2121,IGI
2122,IGI
2123,GIA
2124,GIA
2125,GIA
2126,IGI
2127,GIA
2128,GIA
2129,GIA
2130,GIA
2131,GIA
2132,GIA
2133,IGI
2134,GIA
2135,GIA
2136,GIA
2137,IGI
